timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1592130169702,50,/-1,200,OK,Thread Group 1-1,text,true,,41400,330,1,1,http://10.10.1.103/,49,0,1
1592130169754,41,/-2,200,OK,Thread Group 1-1,text,true,,41470,81730,1,1,http://10.10.1.103/,40,0,0
1592130169796,93,/success.txt-3,200,OK,Thread Group 1-1,text,true,,408,296,1,1,http://detectportal.firefox.com/success.txt,93,0,62
1592130169890,30,/success.txt-5,200,OK,Thread Group 1-1,text,true,,408,301,1,1,http://detectportal.firefox.com/success.txt?ipv4,30,0,0
1592130169921,45,/Home.aspx-4,200,OK,Thread Group 1-1,text,true,,41855,741,2,2,http://10.10.1.103/Default.aspx,12,0,0
1592130169921,12,/Home.aspx-4-0,302,Found,Thread Group 1-1,text,true,,452,369,2,2,http://10.10.1.103/Home.aspx,12,0,0
1592130169933,33,/Home.aspx-4-1,200,OK,Thread Group 1-1,text,true,,41403,372,2,2,http://10.10.1.103/Default.aspx,32,0,0
1592130169966,51,/Home.aspx-6,200,OK,Thread Group 1-1,text,true,,41855,9833,2,2,http://10.10.1.103/Default.aspx,14,0,0
1592130169966,14,/Home.aspx-6-0,302,Found,Thread Group 1-1,text,true,,452,9375,2,2,http://10.10.1.103/Home.aspx,14,0,0
1592130169980,37,/Home.aspx-6-1,200,OK,Thread Group 1-1,text,true,,41403,458,2,2,http://10.10.1.103/Default.aspx,36,0,0
1592130169959,68,/-1,200,OK,Thread Group 1-2,text,true,,41400,330,2,2,http://10.10.1.103/,67,0,1
1592130170019,20,/IPD/ManagerOperation_DashBoard.aspx-7,500,Internal Server Error,Thread Group 1-1,text,false,,4952,404,2,2,http://10.10.1.103/IPD/ManagerOperation_DashBoard.aspx,20,0,0
1592130170040,9,/Home.aspx-8,200,OK,Thread Group 1-1,text,true,,535,9512,2,2,http://10.10.1.103/Home.aspx,9,0,0
1592130170049,14,/Home.aspx-9,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,14,0,0
1592130170064,13,/Home.aspx-10,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,13,0,0
1592130170028,62,/-2,200,OK,Thread Group 1-2,text,true,,41470,81730,2,2,http://10.10.1.103/,61,0,0
1592130170077,19,/Home.aspx-11,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,19,0,0
1592130170096,11,/Home.aspx-12,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,11,0,0
1592130170108,11,/Home.aspx-13,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,11,0,0
1592130170119,13,/Home.aspx-14,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,13,0,0
1592130170132,8,/Home.aspx-15,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,8,0,0
1592130170140,11,/Home.aspx-16,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,11,0,0
1592130170091,67,/success.txt-3,200,OK,Thread Group 1-2,text,true,,408,296,2,2,http://detectportal.firefox.com/success.txt,67,0,33
1592130170152,10,/Home.aspx-17,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,10,0,0
1592130170162,11,/Home.aspx-18,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,11,0,0
1592130170173,10,/Home.aspx-19,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,10,0,0
1592130170159,34,/success.txt-5,200,OK,Thread Group 1-2,text,true,,408,301,2,2,http://detectportal.firefox.com/success.txt?ipv4,34,0,0
1592130170184,10,/Home.aspx-20,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,10,0,0
1592130170194,20,/Home.aspx-21,200,OK,Thread Group 1-1,text,true,,535,9542,2,2,http://10.10.1.103/Home.aspx,20,0,0
1592130170194,55,/Home.aspx-4,200,OK,Thread Group 1-2,text,true,,41855,741,3,3,http://10.10.1.103/Default.aspx,10,0,0
1592130170194,10,/Home.aspx-4-0,302,Found,Thread Group 1-2,text,true,,452,369,3,3,http://10.10.1.103/Home.aspx,10,0,0
